Tissue,Line,Harvest,Treatment,Mg AVG,Mg SE,P AVG,P SE,S AVG,S SE,Ca AVG,Ca SE,Mn AVG,Mn SE,Fe AVG,Fe SE,Co AVG,Co SE,Ni AVG,Ni SE,Cu AVG,Cu SE,Zn AVG,Zn SE,Cd AVG,Cd SE
2_Stem,3_Line 428,2_Anthesis,1_c0z2,2535.377993,278.6328558,7074.505975,641.2304368,2982.325886,472.064708,424.9854902,22.11504047,126.8126867,15.42073368,69.35752377,10.31207936,31.38460834,0.304062774,23.38494469,3.33322957,12.01362456,1.764815208,47.91829657,9.463045682,0.029202912,0.011953529
2_Stem,1_Line 546,3_2WAA,1_c0z2,1642.090509,343.2336258,3548.864348,539.704805,1984.085784,181.6920091,608.8853449,460.6548114,36.21694436,15.71603089,23.00262543,2.809847641,28.12187174,1.988400911,11.76620702,2.057669637,9.206004952,3.838858293,27.00945881,8.052107062,0.027305265,0.013295675
2_Stem,2_Line 667,3_2WAA,1_c0z2,1513.162908,282.0494203,3324.436122,395.2837352,1263.943032,154.3775543,207.5192972,26.35584931,61.647605,14.00540322,38.76206452,4.769756196,32.24552911,0.664940717,12.22097958,0.166215031,4.803912421,0.43293228,26.38690402,7.332778276,0.012580855,0.002691213
2_Stem,3_Line 428,3_2WAA,1_c0z2,1444.902047,67.76564873,4620.805637,355.2631607,1994.937291,171.8193637,356.9467411,60.10827373,61.033466,4.10804773,105.4290198,25.74410362,30.56334177,0.050065728,14.19443171,0.30356698,7.552463759,0.796390359,35.31408318,4.936264233,0.026865032,0.004984154
2_Stem,1_Line 546,4_4WAA,1_c0z2,1833.487349,398.8953243,3156.633046,573.8442337,1539.941718,35.05118987,637.7286107,393.6360755,47.92233219,9.100611693,47.28698914,9.45824831,28.54259298,1.931488118,12.90163093,2.347582968,10.53145751,3.17506208,37.10605262,12.45841442,0.045051551,0.009012745
2_Stem,2_Line 667,4_4WAA,1_c0z2,2696.663093,397.3040117,4489.382831,249.1611272,2216.378908,181.6751962,413.9534055,25.08938005,68.466646,8.603247866,113.2473746,42.5913812,32.02676044,0.250077395,13.90089103,0.301495629,7.59496941,0.774671486,22.20211199,3.56723162,0.047730038,0.007323699
2_Stem,3_Line 428,4_4WAA,1_c0z2,1726.768265,165.6433582,6230.208662,932.1759471,2344.146267,240.2637685,550.647415,83.81910938,73.72732,6.062800413,99.57625075,17.44950467,30.72208422,0.120514457,15.56790882,0.121934496,10.68988065,1.485200153,29.89703898,2.82831196,0.016780364,0.00269779
2_Stem,1_Line 546,1_Vegetative,2_c1z2,2866.555866,563.9322235,7805.505376,183.4043573,2966.813252,150.6001234,2087.466745,169.7029143,27.09167103,3.829447255,38.94084059,5.087649296,25.42445835,0.528763696,13.31893024,2.337503182,9.195996909,1.167855307,42.20026764,9.948827451,25.09131361,2.788158831
2_Stem,2_Line 667,1_Vegetative,2_c1z2,2831.946692,319.2752208,6425.856613,124.9321768,1502.12373,463.2223079,1672.379312,52.04056236,20.02275526,1.164923406,34.51471501,4.544101893,25.56978188,0.336415568,12.13865361,1.36727333,9.808612376,0.422168104,27.34659734,3.181613164,6.946584843,1.144283552
2_Stem,3_Line 428,1_Vegetative,2_c1z2,2693.875908,291.8624908,11430.19343,508.8833845,2063.000085,618.7057096,1331.810508,72.44171096,33.88337176,3.431658999,38.19864029,3.676977565,25.58147375,0.957633734,10.65736871,2.195971656,13.81548241,2.912722119,98.89728701,24.38686952,57.3010628,5.118524079
2_Stem,1_Line 546,2_Anthesis,2_c1z2,1145.300938,172.0021985,3640.418407,224.7407953,1756.813359,130.6218651,122.0439345,20.36026768,56.777368,7.416265545,30.79732259,3.990392886,34.18124017,0.492439701,12.04639383,0.083414763,4.712401547,0.60631581,24.92860506,5.340732816,1.748706929,0.256939107
2_Stem,2_Line 667,2_Anthesis,2_c1z2,1795.937712,215.4180722,4750.251865,301.0909951,1433.817817,138.7182935,336.6646041,62.97846108,71.190244,5.245917896,50.48037045,5.530480928,31.28919614,0.377721096,13.76223191,0.314037976,8.577247257,0.68893693,19.97986156,2.164309987,5.352936162,0.65787087
2_Stem,3_Line 428,2_Anthesis,2_c1z2,1774.465238,90.23594176,6541.603175,190.4384709,2893.386853,255.5085292,211.6691749,11.74277337,107.684514,7.749792659,64.87287221,13.11167075,40.29831459,3.579096466,15.74215705,0.642053861,15.72654285,2.247933253,51.52019767,9.350628428,10.33088363,1.424981637
2_Stem,1_Line 546,3_2WAA,2_c1z2,1339.191213,70.11097523,3829.27794,63.8197848,1848.45985,159.3570122,186.7772954,39.2837283,56.45076,9.950785593,28.25696108,7.400211036,38.78001857,1.701464487,12.45335837,0.135010685,5.727505875,1.048354771,24.19207966,4.346668813,2.515824436,0.882908476
2_Stem,2_Line 667,3_2WAA,2_c1z2,1534.324196,185.2339429,4252.785157,326.9017897,1876.309355,285.0233498,148.6543136,11.83188186,71.26707667,4.735486508,51.45660597,3.00299828,33.40575441,0.543610047,12.68404664,0.074287161,8.764960537,1.132351341,17.19305255,2.065405171,4.638013713,0.795559094
2_Stem,3_Line 428,3_2WAA,2_c1z2,1797.227255,294.1815371,6847.849328,1018.780788,4152.444519,273.4942249,731.7841826,158.4262213,49.98729712,14.32556414,68.43278225,13.33149688,30.34271385,0.911118205,13.605182,1.298224611,13.94018232,2.020781762,29.18519729,1.976475054,8.02942324,0.697903984
